Tanggal,Waktu,Suhu1,Suhu2,Suhu3,Suhu4,Suhu5,Suhu6,Suhu7,Suhu8,Suhu9,Suhu10,Suhu11,Suhu12,Suhu Luar1,Suhu Luar2,Suhu Luar3,Suhu Luar4,Suhu Rerata,Suhu Luar Rerata,RH1,RH2,RH3,RH4,RH5,RH6,RH7,RH8,RH9,RH10,RH11,RH12,RH Luar1,RH Luar2,RH Luar3,RH Luar4,RH Rerata,RH Luar Rerata,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC Luar1,IC Luar2,IC Luar3,IC Luar4,IC Rerata,IC Luar Rerata,ID_Rumah_Kaca
2019-05-11,00:00:33,24,22,23,23,23,24,24,23,23,22,23,24,23,22,22,23,23.17,22.5,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,86,95.0,92.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-11,00:01:33,24,23,22,23,22,24,24,22,23,22,22,24,24,22,21,23,22.92,22.5,95,95,95,95,95,95,95,95,95,95,95,95,95,95,94,83,95.0,91.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-11,00:02:33,24,22,22,23,23,24,24,22,23,22,22,24,24,22,23,23,22.92,23.0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,87,95.0,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-11,00:03:33,24,22,22,23,23,24,24,22,23,22,22,24,24,22,23,23,22.92,23.0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,86,95.0,92.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-11,00:04:35,24,21,22,23,22,24,24,22,23,22,22,24,24,22,22,23,22.75,22.75,95,94,95,95,95,95,95,95,95,95,95,95,95,95,95,83,94.92,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-11,00:05:37,24,22,22,23,22,23,24,22,23,22,22,24,23,22,22,23,22.75,22.5,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,83,95.0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-11,00:07:34,24,22,22,22,23,23,24,22,23,22,22,24,23,22,22,23,22.75,22.5,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,87,95.0,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-11,11:56:06,37,33,33,21,35,34,36,37,34,35,34,39,32,34,34,33,34.0,33.25,58,52,57,94,68,60,58,46,50,56,65,72,76,56,57,51,61.33,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-11,11:57:06,37,33,33,34,35,37,36,36,34,33,33,38,32,33,34,33,34.92,33.0,58,51,62,52,67,52,58,48,50,62,64,76,74,58,58,53,58.33,60.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-11,11:58:06,36,33,33,34,35,38,36,36,34,34,35,38,32,33,33,33,35.17,32.75,59,51,62,51,69,49,61,48,52,61,64,77,76,57,58,52,58.67,60.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
