Tanggal,Waktu,Suhu1,Suhu2,Suhu3,Suhu4,Suhu5,Suhu6,Suhu7,Suhu8,Suhu9,Suhu10,Suhu11,Suhu12,Suhu Luar1,Suhu Luar2,Suhu Luar3,Suhu Luar4,Suhu Rerata,Suhu Luar Rerata,RH1,RH2,RH3,RH4,RH5,RH6,RH7,RH8,RH9,RH10,RH11,RH12,RH Luar1,RH Luar2,RH Luar3,RH Luar4,RH Rerata,RH Luar Rerata,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC Luar1,IC Luar2,IC Luar3,IC Luar4,IC Rerata,IC Luar Rerata,ID_Rumah_Kaca
2019-05-01,00:00:26,24,22,22,23,23,24,24,22,24,22,23,24,24,0,0,0,23.08,24.0,95,95,95,95,95,95,95,95,95,95,95,95,95,0,0,0,95.0,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:41:59,24,23,32,35,34,23,24,22,24,22,22,37,32,0,0,0,26.83,32.0,95,95,67,50,70,95,95,95,95,95,95,78,76,0,0,0,85.42,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:42:59,35,34,32,35,34,36,34,33,34,32,34,36,33,0,0,0,34.08,33.0,64,54,64,47,70,54,68,60,58,59,68,76,68,0,0,0,61.83,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:43:59,34,32,32,34,33,36,34,33,34,32,31,36,33,0,0,0,33.42,33.0,66,57,63,50,75,52,66,58,58,64,70,72,68,0,0,0,62.58,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:44:59,34,32,31,35,33,35,33,33,33,32,32,36,32,0,0,0,33.25,32.0,68,58,69,51,77,59,71,59,63,64,70,79,73,0,0,0,65.67,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:45:59,34,32,31,35,34,35,33,33,33,33,33,36,33,0,0,0,33.5,33.0,65,60,66,51,78,58,75,59,63,63,72,75,72,0,0,0,65.42,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:46:59,34,32,32,35,34,34,33,34,33,33,30,35,33,0,0,0,33.25,33.0,65,57,66,49,75,57,71,57,61,61,69,79,68,0,0,0,63.92,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:47:59,34,32,32,34,33,34,33,33,33,33,31,34,32,0,0,0,33.0,32.0,65,57,65,50,75,57,67,59,62,62,70,83,71,0,0,0,64.33,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:48:59,34,32,31,34,33,34,33,33,33,32,31,35,32,0,0,0,32.92,32.0,66,57,67,54,76,61,71,59,62,61,71,82,75,0,0,0,65.58,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:49:59,34,33,31,34,33,35,33,34,33,33,32,36,33,0,0,0,33.42,33.0,67,58,68,54,76,59,72,57,63,63,72,80,71,0,0,0,65.75,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:50:59,34,33,32,34,34,36,34,36,34,34,32,38,33,0,0,0,34.25,33.0,68,58,68,53,74,57,71,55,62,61,69,77,71,0,0,0,64.42,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:51:59,34,34,33,38,37,38,35,37,34,36,33,39,33,0,0,0,35.67,33.0,67,55,65,46,66,52,68,49,60,56,70,76,75,0,0,0,60.83,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:52:59,35,35,33,38,37,38,35,38,35,36,33,39,33,0,0,0,36.0,33.0,66,52,61,46,66,53,66,50,57,56,69,71,72,0,0,0,59.42,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:53:59,34,35,34,38,37,38,35,38,36,36,33,39,32,0,0,0,36.08,32.0,66,53,61,46,61,48,66,47,54,56,69,72,73,0,0,0,58.25,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:54:59,35,35,34,38,38,38,35,38,36,36,33,39,31,0,0,0,36.25,31.0,63,50,58,42,62,48,66,47,54,52,67,68,76,0,0,0,56.42,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:55:59,35,35,33,38,36,39,35,38,36,36,34,39,32,0,0,0,36.17,32.0,62,50,62,43,67,49,62,49,54,53,67,72,73,0,0,0,57.5,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:56:59,35,35,33,38,35,38,34,37,35,35,33,39,31,0,0,0,35.58,31.0,62,49,59,43,67,50,68,50,54,53,66,69,75,0,0,0,57.5,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:57:59,35,34,33,37,34,38,34,37,35,36,33,38,32,0,0,0,35.33,32.0,63,49,64,44,70,50,66,47,55,54,68,72,72,0,0,0,58.5,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:58:59,35,35,33,37,34,37,34,37,35,35,32,38,31,0,0,0,35.17,31.0,63,48,63,44,71,50,63,47,55,54,68,73,76,0,0,0,58.25,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,09:59:59,35,35,33,36,34,38,34,37,35,35,32,38,31,0,0,0,35.17,31.0,65,50,65,47,72,51,67,46,55,55,68,72,77,0,0,0,59.42,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:00:59,35,35,33,36,34,38,34,37,35,35,33,38,31,0,0,0,35.25,31.0,64,48,62,48,72,50,64,46,55,54,68,68,73,0,0,0,58.25,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:01:59,35,35,33,35,33,37,34,37,35,35,31,38,30,0,0,0,34.83,30.0,61,46,59,48,73,49,66,47,54,55,67,72,78,0,0,0,58.08,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:02:59,35,35,33,35,33,38,34,37,35,35,32,38,31,0,0,0,35.0,31.0,61,47,63,48,73,48,66,47,54,55,68,69,76,0,0,0,58.25,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:03:59,35,35,33,34,33,38,34,37,34,36,32,38,30,0,0,0,34.92,30.0,61,47,63,50,75,50,67,46,56,54,67,68,74,0,0,0,58.67,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:04:59,35,34,33,34,32,38,34,37,34,36,32,38,30,0,0,0,34.75,30.0,64,49,63,52,74,48,67,48,57,54,68,73,77,0,0,0,59.75,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:05:59,35,34,33,34,34,39,35,37,35,36,33,38,30,0,0,0,35.25,30.0,61,49,60,53,71,46,64,46,55,54,67,69,73,0,0,0,57.92,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:06:59,35,35,33,34,34,39,35,38,36,37,34,37,30,0,0,0,35.58,30.0,60,47,63,51,71,46,60,47,55,52,67,72,80,0,0,0,57.58,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:07:59,35,35,33,34,33,38,34,36,36,37,32,37,30,0,0,0,35.0,30.0,62,47,60,54,74,46,68,48,53,51,66,71,80,0,0,0,58.33,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:08:59,34,34,32,32,33,38,34,36,35,36,32,35,31,0,0,0,34.25,31.0,64,50,64,57,76,49,70,49,53,53,69,78,78,0,0,0,61.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:09:59,34,33,33,33,33,38,34,36,35,35,32,35,31,0,0,0,34.25,31.0,65,53,65,58,76,49,66,51,54,53,69,80,79,0,0,0,61.58,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:10:59,35,33,32,34,34,38,34,36,35,36,33,36,32,0,0,0,34.67,32.0,63,53,61,56,75,49,69,53,55,53,68,81,79,0,0,0,61.33,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:11:59,35,33,33,34,34,39,34,35,35,37,34,37,32,0,0,0,35.0,32.0,63,53,63,56,71,49,66,53,55,52,63,79,76,0,0,0,60.25,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:13:00,36,34,34,34,36,39,36,36,35,37,35,36,32,0,0,0,35.67,32.0,63,54,56,56,68,48,64,54,55,50,61,77,78,0,0,0,58.83,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:14:00,36,34,34,34,38,39,37,35,35,37,36,36,32,0,0,0,35.92,32.0,62,52,56,52,63,44,61,53,55,50,61,73,75,0,0,0,56.83,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:15:00,36,34,35,35,37,40,37,35,35,37,36,36,32,0,0,0,36.08,32.0,61,50,58,52,61,44,57,52,55,49,61,77,74,0,0,0,56.42,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:16:00,36,34,35,34,36,38,37,35,35,37,36,36,32,0,0,0,35.75,32.0,63,49,57,50,64,47,58,52,56,50,57,78,71,0,0,0,56.75,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:17:00,35,34,34,34,35,37,37,36,34,37,36,36,32,0,0,0,35.42,32.0,60,49,56,50,67,48,55,52,57,49,57,74,73,0,0,0,56.17,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:18:00,35,33,34,34,35,37,37,36,34,37,38,36,32,0,0,0,35.5,32.0,62,52,59,51,69,50,53,52,57,49,55,75,72,0,0,0,57.0,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:19:00,35,34,34,34,35,37,37,36,35,37,35,36,32,0,0,0,35.42,32.0,62,51,58,51,69,50,56,50,55,50,56,79,75,0,0,0,57.25,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:20:00,35,34,34,34,34,37,37,36,35,37,35,36,32,0,0,0,35.33,32.0,61,52,59,51,70,51,61,52,55,50,59,78,75,0,0,0,58.25,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:21:00,35,34,34,34,34,38,36,36,35,37,35,36,32,0,0,0,35.33,32.0,62,51,61,52,72,49,62,52,53,49,58,79,72,0,0,0,58.33,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:22:00,35,34,34,35,34,38,36,36,35,37,34,36,32,0,0,0,35.33,32.0,61,52,60,53,72,49,59,51,54,49,58,78,74,0,0,0,58.0,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:23:00,35,35,34,35,34,39,36,36,36,35,34,36,32,0,0,0,35.42,32.0,62,49,57,49,69,45,61,48,55,53,57,74,71,0,0,0,56.58,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:24:00,35,35,34,35,35,40,36,36,35,35,35,36,33,0,0,0,35.58,33.0,61,45,59,49,68,44,58,48,55,53,57,75,67,0,0,0,56.0,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:25:00,35,36,33,35,36,40,37,36,35,35,37,38,33,0,0,0,36.08,33.0,62,46,60,49,65,42,59,48,55,52,50,74,67,0,0,0,55.17,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:26:00,35,37,34,36,36,40,37,37,35,35,37,38,32,0,0,0,36.42,32.0,62,41,61,47,62,40,56,47,53,51,49,72,70,0,0,0,53.42,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-01,10:27:01,36,37,33,37,37,41,37,36,35,35,37,37,32,0,0,0,36.5,32.0,62,39,58,46,62,42,55,47,50,51,49,69,71,0,0,0,52.5,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
