Tanggal,Waktu,Suhu1,Suhu2,Suhu3,Suhu4,Suhu5,Suhu6,Suhu7,Suhu8,Suhu9,Suhu10,Suhu11,Suhu12,Suhu Luar1,Suhu Luar2,Suhu Luar3,Suhu Luar4,Suhu Rerata,Suhu Luar Rerata,RH1,RH2,RH3,RH4,RH5,RH6,RH7,RH8,RH9,RH10,RH11,RH12,RH Luar1,RH Luar2,RH Luar3,RH Luar4,RH Rerata,RH Luar Rerata,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC Luar1,IC Luar2,IC Luar3,IC Luar4,IC Rerata,IC Luar Rerata,ID_Rumah_Kaca
2019-05-02,08:01:15,24,22,26,23,22,28,29,27,27,27,23,29,27,0,0,0,25.58,27.0,95,95,89,95,95,90,95,86,85,90,95,95,95,0,0,0,92.08,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-02,08:02:15,28,27,26,27,27,28,28,27,27,27,26,29,27,0,0,0,27.25,27.0,91,86,89,88,95,88,95,88,86,90,95,95,95,0,0,0,90.5,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-02,08:03:15,28,26,26,27,27,28,28,27,27,26,26,28,27,0,0,0,27.0,27.0,93,89,95,86,95,88,95,88,87,91,95,95,95,0,0,0,91.42,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-02,08:04:15,28,26,26,27,27,28,28,26,27,26,26,28,27,0,0,0,26.92,27.0,93,89,95,88,95,91,95,91,86,91,95,95,95,0,0,0,92.0,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-02,08:05:15,28,26,26,27,27,28,28,26,27,26,26,28,27,0,0,0,26.92,27.0,93,91,93,88,95,92,95,92,86,92,95,95,95,0,0,0,92.25,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-02,08:06:15,28,27,26,27,27,28,28,27,28,26,26,29,27,0,0,0,27.25,27.0,94,91,95,88,95,89,95,90,87,92,95,95,95,0,0,0,92.17,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-02,08:07:16,28,26,26,27,27,28,28,27,28,27,27,29,27,0,0,0,27.33,27.0,94,90,95,89,95,89,95,91,87,92,95,95,95,0,0,0,92.25,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-02,08:08:16,28,27,26,27,27,28,28,27,28,26,26,29,27,0,0,0,27.25,27.0,95,92,95,88,95,92,95,91,88,92,95,95,95,0,0,0,92.75,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-02,08:09:16,28,26,26,27,27,28,28,27,27,26,27,28,27,0,0,0,27.08,27.0,95,92,95,88,95,93,95,91,87,93,95,95,95,0,0,0,92.83,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-02,08:10:16,28,26,26,27,27,28,28,26,27,26,26,28,27,0,0,0,26.92,27.0,95,90,95,89,95,90,95,92,87,93,95,95,95,0,0,0,92.58,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
