Tanggal,Waktu,Suhu1,Suhu2,Suhu3,Suhu4,Suhu5,Suhu6,Suhu7,Suhu8,Suhu9,Suhu10,Suhu11,Suhu12,Suhu Luar1,Suhu Luar2,Suhu Luar3,Suhu Luar4,Suhu Rerata,Suhu Luar Rerata,RH1,RH2,RH3,RH4,RH5,RH6,RH7,RH8,RH9,RH10,RH11,RH12,RH Luar1,RH Luar2,RH Luar3,RH Luar4,RH Rerata,RH Luar Rerata,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC Luar1,IC Luar2,IC Luar3,IC Luar4,IC Rerata,IC Luar Rerata,ID_Rumah_Kaca
2019-04-30,08:43:39,30,29,14,28,29,29,30,14,29,28,14,29,28,0,0,0,25.25,28.0,83,79,170,81,95,81,86,169,82,79,175,95,93,0,0,0,106.25,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-04-30,08:44:42,30,29,28,29,28,30,15,29,29,14,29,30,29,0,0,0,26.67,29.0,83,79,85,77,95,77,169,79,76,168,86,95,90,0,0,0,97.42,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-04-30,08:45:35,30,29,28,14,29,30,30,29,30,29,28,31,29,0,0,0,28.08,29.0,82,78,83,166,95,79,81,78,75,78,84,95,89,0,0,0,89.5,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-04-30,08:46:33,31,29,28,29,29,30,31,29,30,29,28,31,29,0,0,0,29.5,29.0,80,75,78,74,95,78,83,77,75,78,83,95,88,0,0,0,80.92,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-04-30,08:47:36,31,29,28,30,29,30,31,29,15,29,28,31,29,0,0,0,28.33,29.0,79,74,78,71,95,77,79,76,166,76,83,95,85,0,0,0,87.42,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-04-30,08:48:32,31,29,28,30,30,30,15,29,15,29,29,31,14,0,0,0,27.17,14.0,80,73,80,71,95,73,169,74,165,76,82,95,172,0,0,0,94.42,172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-04-30,08:49:48,31,29,29,30,30,15,31,30,30,29,29,31,29,0,0,0,28.67,29.0,80,73,81,71,95,164,83,75,73,75,82,95,86,0,0,0,87.25,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-04-30,08:50:51,31,30,29,30,29,30,31,30,30,29,30,31,29,0,0,0,30.0,29.0,77,72,81,71,95,75,82,75,71,75,81,95,83,0,0,0,79.17,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-04-30,08:51:59,31,30,29,30,30,30,31,30,15,29,30,31,29,0,0,0,28.83,29.0,77,72,78,71,95,76,79,73,164,76,82,95,88,0,0,0,86.5,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-04-30,08:53:12,31,30,29,30,30,31,31,15,15,30,15,31,28,0,0,0,26.5,28.0,77,72,77,70,95,75,79,165,164,75,169,95,89,0,0,0,101.08,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
