Tanggal,Waktu,Suhu1,Suhu2,Suhu3,Suhu4,Suhu5,Suhu6,Suhu7,Suhu8,Suhu9,Suhu10,Suhu11,Suhu12,Suhu Luar1,Suhu Luar2,Suhu Luar3,Suhu Luar4,Suhu Rerata,Suhu Luar Rerata,RH1,RH2,RH3,RH4,RH5,RH6,RH7,RH8,RH9,RH10,RH11,RH12,RH Luar1,RH Luar2,RH Luar3,RH Luar4,RH Rerata,RH Luar Rerata,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC Luar1,IC Luar2,IC Luar3,IC Luar4,IC Rerata,IC Luar Rerata,ID_Rumah_Kaca
2019-05-18,00:00:11,22,19,20,20,20,21,22,19,21,19,19,21,21,20,19,21,20.25,20.25,95,93,93,93,93,94,95,93,94,93,93,94,94,93,93,89,93.58,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:01:11,22,19,20,20,20,21,22,19,21,19,19,21,21,20,19,21,20.25,20.25,95,93,93,93,93,94,95,93,94,93,93,94,94,93,93,88,93.58,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:02:11,22,19,20,20,20,21,22,19,21,19,19,21,21,20,19,21,20.25,20.25,95,93,93,93,93,94,95,93,94,93,93,94,94,93,93,88,93.58,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:03:11,22,19,20,20,20,21,22,19,21,19,19,21,21,20,19,21,20.25,20.25,95,93,93,93,93,94,95,93,94,93,93,94,94,93,93,88,93.58,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:04:11,22,19,20,20,20,21,21,19,21,19,19,21,21,20,19,21,20.17,20.25,95,93,93,93,93,94,94,93,94,93,93,94,94,93,93,88,93.5,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:05:11,22,19,20,20,20,21,21,19,20,19,19,21,21,20,19,21,20.08,20.25,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,88,93.42,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:06:11,22,19,20,20,20,21,21,19,21,19,19,21,21,20,19,21,20.17,20.25,95,93,93,93,93,94,94,93,94,93,93,94,94,93,93,88,93.5,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:07:12,22,19,20,20,20,21,21,19,21,19,19,21,21,20,19,21,20.17,20.25,95,93,93,93,93,94,94,93,94,93,93,94,94,93,93,88,93.5,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:08:13,22,19,20,20,20,21,21,19,21,19,19,21,21,20,19,21,20.17,20.25,95,93,93,93,93,94,94,93,94,93,93,94,94,93,93,88,93.5,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:09:13,22,19,20,20,20,21,22,19,21,19,19,21,21,20,19,22,20.25,20.5,95,93,93,93,93,94,95,93,94,93,93,94,94,93,93,89,93.58,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:10:14,22,19,20,20,20,21,22,19,21,19,19,21,21,20,19,21,20.25,20.25,95,93,93,93,93,94,95,93,94,93,93,94,94,93,93,88,93.58,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:11:15,22,19,19,20,20,21,21,19,21,19,19,21,21,20,19,21,20.08,20.25,95,93,93,93,93,94,94,93,94,93,93,94,94,93,93,88,93.5,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:12:15,22,19,19,20,20,21,21,19,20,19,19,21,21,20,19,21,20.0,20.25,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,89,93.42,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:13:15,22,19,19,20,20,21,21,19,20,19,19,21,21,20,19,21,20.0,20.25,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,89,93.42,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:14:15,22,19,19,20,19,21,21,19,20,19,19,21,21,20,19,21,19.92,20.25,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,89,93.42,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:15:15,22,19,19,20,19,21,21,19,20,19,19,21,21,20,19,21,19.92,20.25,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,88,93.42,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:16:15,22,19,19,20,19,21,21,19,20,19,19,21,21,20,19,21,19.92,20.25,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,88,93.42,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:17:15,22,19,19,20,19,21,21,19,20,19,19,21,21,20,20,21,19.92,20.5,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,89,93.42,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:18:15,22,19,19,20,19,21,21,19,20,19,19,21,21,20,20,21,19.92,20.5,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,89,93.42,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:19:15,22,19,19,20,19,21,21,19,20,19,19,21,21,20,20,21,19.92,20.5,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,89,93.42,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:20:15,22,19,19,20,20,21,21,19,20,19,19,21,21,20,19,21,20.0,20.25,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,89,93.42,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:21:15,22,19,19,20,19,21,21,19,20,19,19,21,21,20,19,21,19.92,20.25,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,89,93.42,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:22:15,22,19,19,19,19,21,21,19,20,19,19,21,21,20,19,21,19.83,20.25,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,89,93.42,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:23:15,22,19,19,20,19,21,21,19,20,19,19,21,21,20,19,21,19.92,20.25,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,89,93.42,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:24:15,22,19,19,20,19,21,21,19,20,19,19,21,21,20,19,21,19.92,20.25,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,89,93.42,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:25:15,22,19,19,20,19,21,21,19,20,19,19,21,21,20,19,21,19.92,20.25,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,88,93.42,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:26:15,22,19,19,20,19,21,21,19,20,19,19,21,21,20,19,21,19.92,20.25,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,88,93.42,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:27:15,22,19,19,20,19,21,21,19,20,19,19,21,21,20,19,21,19.92,20.25,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,88,93.42,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:28:15,22,19,19,20,19,21,21,19,20,19,19,21,21,20,19,21,19.92,20.25,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,88,93.42,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:29:16,22,19,19,20,19,21,21,19,20,19,19,21,21,20,19,21,19.92,20.25,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,88,93.42,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:30:16,21,19,19,20,19,21,21,19,20,19,19,21,21,19,19,21,19.83,20.0,94,93,93,93,93,94,94,93,93,93,93,94,94,93,93,88,93.33,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:31:17,21,19,19,19,19,21,21,19,20,19,19,21,21,19,19,21,19.75,20.0,94,93,93,93,93,94,94,93,93,93,93,94,94,93,93,88,93.33,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:32:17,22,19,19,19,19,21,21,19,20,19,19,21,21,19,19,21,19.83,20.0,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,88,93.42,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-18,00:33:17,22,19,19,19,19,21,21,19,20,19,19,21,21,19,19,21,19.83,20.0,95,93,93,93,93,94,94,93,93,93,93,94,94,93,93,89,93.42,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
